gene	kcore
ITGA4	338
NCF1	365
NCKAP1	359
NCKAP1L	335
RASA1	472
USP6NL	354
VCAM1	368
WASF1	341
WASF2	354
WASF3	354
ABI2	298
EFS	354
ADAM15	345
AIRE	384
AKAP6	153
BARGIN	369
BLK	396
CABLES1	354
CABLES2	389
CAP1	298
CAP2	264
CCKBR	438
CCNA2	395
CD19	389
CD2AP	375
CDKL5	367
CNTNAP1	302
CSF1	420
CSF1R	383
DDX41	372
DKKL1	372
DLX4	375
DNM1	378
DOK1	368
DOK2	372
EFNA5	372
EPHA1	288
EPHA2	378
EPHA3	354
EPHA4	342
EPHA5	320
EPHA6	322
EPHA7	290
EPHA8	145
EPHB1	358
EPHB4	346
EPHB6	279
ERBB2	472
ERBB3	472
ERBB4	472
FMN1	276
FYB1	338
GPX1	396
HCK	539
LRP8	185
LRRK1	327
MAP4K1	357
NEDD9	369
NEK8	289
NKX2-1	381
NR2C2	351
NRP1	221
NTRK3	380
PARK7	396
PDE4D	539
PDGFB	472
PDGFRB	472
PRKCD	472
PRKD1	472
PTPN1	472
RAPGEF1	389
RELN	275
RET	396
RIN3	150
ROBO2	539
ROS1	396
RTN4	215
SCARF2	240
SELENON	239
SH3BP1	354
SH3BP2	354
SHC2	369
SHC3	472
SHC4	377
SLIT1	231
SMC3	357
SNCA	396
SNX12	369
SNX17	347
VPS13A	271
WNK2	396
ZNF274	246
MAP3K10	223
SSX2IP	252
ERBIN	383
ABRAXAS2	365
PEX7	396
MMP12	317
MMP14	334
MMP20	252
MMP7	278
MMP8	260
MMP9	369
ACAP1	221
PLD2	395
SLC2A4	354
ACAP2	171
PFDN4	225
RAD21	396
STAG1	365
STAG2	343
ACE	356
AGTR2	599
MYH9	301
COLQ	138
LAMB1	242
API5	167
CXCL1	417
CXCL5	420
PF4	396
VWF	314
CCL27	423
CCL28	396
CXCL16	396
FPR2	438
PIK3CG	599
PECAM1	472
CXCL13	396
MYL6	298
MYL6B	182
MYO16	396
ACP1	211
DUSP1	396
DUSP12	331
DUSP2	377
EFNA1	396
ACTN1	332
ADAM17	356
AFDN	354
CFL1	319
GSN	365
IFT57	180
MB	138
MMP15	288
MMP16	309
MMP19	273
MMP21	277
MMP23B	277
MMP24	309
MMP25	317
MMP27	277
MMP28	298
MYH1	232
MYH10	298
MYH11	288
MYH13	220
MYH2	269
MYH3	220
MYH4	219
MYH6	169
MYH7	233
MYH7B	215
MYH8	155
PPP1R9B	247
UTRN	118
ALOX12	158
CCT5	324
CNN1	158
CNN2	162
EDNRA	599
MYL10	210
MYL12A	273
MYL12B	273
MYL5	210
MYL7	210
MYL9	273
MYLK	532
MYLPF	252
PALLD	179
PXN	539
ACTR3B	271
ACTR3C	317
ANK3	249
B2M	365
CCT6A	289
CDC37	396
CDK5R2	224
CFL2	264
COTL1	298
DKFZP686A1195	155
DKFZP686D0714	260
DSTN	269
EVL	331
FMNL3	365
FSCN1	365
FSCN2	298
FSCN3	298
GRLF1	345
HCLS1	368
ITGA2	484
ITGA2B	347
ITGA3	288
ITGA6	354
ITGAE	279
ITGAL	354
LCP1	199
MAP1A	252
METAP1	365
MGMT	389
MLLT4	305
MYH14	305
MYH15	308
MYO10	317
MYO1A	298
MYO1B	298
MYO1D	298
MYO1E	302
MYO1F	279
MYO1G	317
MYO1H	298
MYO5B	271
MYO5C	298
MYO6	274
NUS1	298
PFDN1	219
PFDN2	181
PFDN6	177
PFN1	438
PFN2	308
PFN3	264
PFN4	263
PIP5K1C	354
PTK2B	396
PWP1	302
SETSIP	262
SYNPO	348
TJP1	224
TMSB4X	274
TMSB4Y	313
TWF1	267
TWF2	296
UBASH3B	375
VBP1	225
WDR1	274
ZYX	274
TMOD3	281
FHOD1	298
PPP1R9A	298
VIL1	387
PDCL	438
CAPN1	325
CSK	396
DKFZP666O0110	539
HEL-S-105	214
ILK	368
KIRREL1	354
LPP	217
NPHS1	354
PIP4K2A	304
PIP4K2B	355
PIP4K2C	269
PIP5K1A	322
PIP5K1B	306
STM7	277
ADAM12	370
DLG1	352
DLG2	252
DLG3	255
DST	150
GRIA2	539
GRIA3	539
GRIA4	539
HRAS	599
KCNA5	271
KRAS	599
LRRC7	316
NEFL	346
NOS3	438
NRAS	599
NRG1	396
ACTR1B	289
ARCN1	195
BICD1	269
CAPZA1	365
CAPZA2	249
CAPZA3	242
COPA	225
COPB2	219
COPE	195
COPG1	195
COPG2	195
COPZ1	195
COPZ2	195
DCTN1	305
FKBP4	291
GALNT1	252
GALNT2	252
HLA-DPA1	382
HLA-DPB1	381
HLA-DQA1	383
HLA-DQA2	382
HLA-DQB1	383
HLA-DQB2	245
HLA-DRA	469
HLA-DRB1	438
HLA-DRB3	381
HLA-DRB4	381
HLA-DRB5	381
KDELR1	208
KIF11	289
KIF15	231
KIF23	289
NR3C2	332
OSBPL1A	249
PGR	539
RAB18	252
RAB3GAP1	252
RAB3GAP2	268
RAB7A	252
RILP	226
SPTBN2	249
SPTBN5	229
TMED3	195
TMED7	195
TMED9	193
BORA	298
NEK2	365
TUBB	323
TUBB4A	252
TUBB4B	269
ALAD	264
CD247	396
EFHD2	268
FCGR1A	396
FCGR2A	354
FCGR3A	395
GAB1	472
HEL-S-275	327
IGHG1	323
IGHG2	318
IGHG3	342
IGHG4	318
IGHV	354
IGHV1-2	354
IGHV1-46	354
IGHV1-69	354
IGHV2-5	354
IGHV2-70	354
IGHV3-11	354
IGHV3-13	354
IGHV3-23	354
IGHV3-30	354
IGHV3-33	354
IGHV3-48	354
IGHV3-53	354
IGHV3-7	354
IGHV3-9	354
IGHV4-34	354
IGHV4-39	354
IGHV4-59	354
IGHV7-81	354
IGKV1-12	354
IGKV1-16	354
IGKV1-17	354
IGKV1-33	354
IGKV1-39	354
IGKV1-5	354
IGKV1D-12	354
IGKV1D-16	354
IGKV2-29	354
IGKV2-30	354
IGKV2D-28	354
IGKV2D-30	354
IGKV2D-40	354
IGKV3-11	354
IGKV3-15	354
IGKV3-20	354
IGKV3D-20	354
IGKV4-1	354
IGKV5-2	354
IGLC1	354
IGLC2	354
IGLC3	354
IGLC6	354
IGLC7	354
IGLV	354
IGLV1-40	354
IGLV1-44	354
IGLV1-47	354
IGLV1-51	354
IGLV2-11	354
IGLV2-14	354
IGLV2-23	354
IGLV2-8	354
IGLV3-1	354
IGLV3-19	354
IGLV3-21	354
IGLV3-25	354
IGLV3-27	354
IGLV6-57	354
IGLV7-43	354
MBNL1	343
V1-11	354
V1-13	354
V1-16	354
V1-20	354
V1-3	354
V1-5	354
V1-7	354
V1-9	354
V2-11	354
V2-15	354
V2-17	354
V2-19	354
V2-8	354
V3-2	354
V3-3	354
V3-4	354
V4-1	354
V4-2	354
V4-6	354
V5-1	354
V5-4	354
V5-6	354
CYBA	232
FNTA	201
GDNF	383
NCF2	363
NEO1	170
NOX1	274
RRAS2	599
CDK5R1	361
NRG2	396
TDGF1	346
DPP4	182
ADA2	213
GMFG	99
LAPTM5	163
ADAM10	334
DLL4	396
EFNA2	322
EFNA3	317
EFNA4	313
EPHA10	119
JAG1	396
JAG2	396
PKN2	336
